user,item,ratings
1,11,4.0
1,10,4.0
1,9,2.5
1,12,4.0
1,3,3.5
1,7,3.5
1,2,4.0
1,6,3.5
2,13,2.0
3,146,1.5
3,86,3.5
3,28,3.0
3,17,3.0
3,152,3.5
3,114,4.0
3,69,3.0
3,22,2.0
3,80,2.5
3,120,2.5
3,94,4.0
3,140,2.5
3,179,2.5
3,49,3.0
3,167,4.0
3,184,1.0
3,19,4.0
3,36,2.0
3,111,4.0
3,203,3.0
3,104,2.0
3,121,2.0
3,72,2.5
3,180,2.5
3,96,4.0
3,198,4.0
3,134,2.5
3,91,1.0
3,56,2.5
3,142,4.0
3,64,4.0
3,16,4.0
3,147,4.0
3,194,3.5
3,106,3.0
3,60,4.0
3,21,1.5
3,48,4.0
3,35,4.0
3,185,2.5
3,50,4.0
3,41,4.0
3,171,1.0
3,6,0.5
3,44,4.0
3,93,1.0
3,23,3.0
3,193,4.0
3,196,1.5
3,112,3.0
3,204,3.0
3,51,0.5
3,154,1.5
3,191,2.5
3,202,4.0
3,151,4.0
3,165,3.0
3,27,4.0
3,66,4.0
3,182,3.0
3,108,0.5
3,110,4.0
3,145,4.0
3,139,3.0
3,166,4.0
3,101,3.0
3,54,4.0
3,47,2.5
3,127,0.5
3,10,3.5
3,31,3.0
3,76,0.5
3,124,3.5
3,133,3.5
3,116,1.0
3,192,4.0
3,34,3.0
3,65,0.5
3,29,3.0
3,159,1.5
3,62,4.0
3,87,3.5
3,77,3.5
3,107,4.0
3,24,4.0
3,189,4.0
3,95,3.0
3,18,4.0
3,55,2.5
3,88,2.5
3,162,4.0
3,33,2.5
3,92,2.5
3,71,4.0
3,130,2.5
3,186,3.0
3,122,2.0
3,181,4.0
3,74,2.5
3,195,1.5
3,97,4.0
3,100,0.5
3,46,1.0
3,37,2.0
3,20,2.5
3,131,2.5
3,156,1.5
3,79,2.0
3,172,0.5
3,188,4.0
3,25,1.5
3,168,4.0
3,173,2.0
3,141,4.0
3,187,2.5
3,98,2.5
3,113,1.0
3,105,3.0
3,70,2.5
3,149,3.5
3,128,0.5
3,177,2.5
3,137,1.0
3,32,2.0
3,157,1.5
3,169,3.5
3,68,4.0
3,102,4.0
3,175,1.0
3,38,2.0
3,129,4.0
3,150,2.0
3,126,4.0
3,170,2.0
3,75,3.5
3,89,0.5
3,57,0.5
3,115,4.0
3,109,3.0
3,125,2.5
